gender|SeniorCitizen|Partner|Dependents|tenure|PhoneService|MultipleLines|InternetService|OnlineSecurity|OnlineBackup|DeviceProtection|TechSupport|StreamingTV|StreamingMovies|Contract|PaperlessBilling|PaymentMethod|MonthlyCharges|TotalCharges|Churn|PaymentMethods|tenures|Contracts|MultipleLiness|Partners|Dependentss|PhoneServices|InternetServices|OnlineSecuritys|OnlineBackups|DeviceProtections|TechSupports|StreamingTVs|StreamingMoviess|PaperlessBillings|churned|SeniorCitizens|MonthlyChargess|TotalChargess
Female|0.0|Yes|Yes|69.0|Yes|Yes|Fiber optic|Yes|Yes|Yes|Yes|Yes|Yes|Two year|No|Credit card (automatic)|113.25|7895.15|No|3.0|20.0|1.0|1.0|1.0|1.0|0.0|0.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0.0|0.0|1466.0|3760.0
Female|0.0|No|No|52.0|Yes|No|No|No internet service|No internet service|No internet service|No internet service|No internet service|No internet service|One year|No|Mailed check|20.65|1022.95|No|1.0|29.0|2.0|0.0|0.0|0.0|0.0|2.0|2.0|2.0|2.0|2.0|2.0|2.0|1.0|0.0|0.0|26.0|1100.0
Male|0.0|No|Yes|71.0|Yes|Yes|Fiber optic|Yes|No|Yes|No|Yes|Yes|Two year|No|Bank transfer (automatic)|106.7|7382.25|No|2.0|5.0|1.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|1.0|0.0|1.0|1.0|1.0|0.0|0.0|843.0|6313.0
Female|0.0|Yes|Yes|10.0|Yes|No|DSL|No|No|Yes|Yes|No|No|Month-to-month|No|Credit card (automatic)|55.2|528.35|Yes|3.0|12.0|0.0|0.0|1.0|1.0|0.0|1.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|1.0|0.0|478.0|5301.0
Female|0.0|No|No|21.0|Yes|No|Fiber optic|No|Yes|Yes|No|No|Yes|Month-to-month|Yes|Electronic check|90.05|1862.9|No|0.0|64.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|71.0|3444.0
Male|1.0|No|No|1.0|No|No phone service|DSL|No|No|Yes|No|No|Yes|Month-to-month|Yes|Electronic check|39.65|39.65|Yes|0.0|0.0|0.0|2.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|747.0|1071.0
Male|0.0|Yes|No|12.0|Yes|No|No|No internet service|No internet service|No internet service|No internet service|No internet service|No internet service|One year|No|Bank transfer (automatic)|19.8|202.25|No|2.0|11.0|2.0|0.0|1.0|0.0|0.0|2.0|2.0|2.0|2.0|2.0|2.0|2.0|1.0|0.0|0.0|11.0|128.0
Male|0.0|No|No|1.0|Yes|No|No|No internet service|No internet service|No internet service|No internet service|No internet service|No internet service|Month-to-month|No|Mailed check|20.15|20.15|Yes|1.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|2.0|2.0|2.0|2.0|2.0|2.0|1.0|1.0|0.0|7.0|7.0
Female|0.0|Yes|No|58.0|Yes|Yes|DSL|No|Yes|No|Yes|No|No|Two year|Yes|Credit card (automatic)|59.9|3505.1|No|3.0|52.0|1.0|1.0|1.0|0.0|0.0|1.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|228.0|1348.0
Male|0.0|Yes|Yes|49.0|Yes|No|DSL|Yes|Yes|No|Yes|No|No|Month-to-month|No|Credit card (automatic)|59.6|2970.3|No|3.0|53.0|0.0|0.0|1.0|1.0|0.0|1.0|1.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|425.0|4793.0
Female|0.0|No|No|30.0|Yes|No|DSL|Yes|Yes|No|No|No|No|Month-to-month|Yes|Bank transfer (automatic)|55.3|1530.6|No|2.0|40.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|76.0|5730.0
Male|0.0|Yes|Yes|47.0|Yes|Yes|Fiber optic|No|Yes|No|No|Yes|Yes|Month-to-month|Yes|Electronic check|99.35|4749.15|Yes|0.0|48.0|0.0|1.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|1.0|0.0|1.0|0.0|684.0|2392.0
Male|0.0|Yes|Yes|1.0|No|No phone service|DSL|No|Yes|No|No|No|No|Month-to-month|No|Electronic check|30.2|30.2|Yes|0.0|0.0|0.0|2.0|1.0|1.0|1.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|730.0|615.0
Male|0.0|Yes|No|72.0|Yes|Yes|DSL|Yes|Yes|Yes|Yes|Yes|Yes|Two year|Yes|Credit card (automatic)|90.25|6369.45|No|3.0|1.0|1.0|1.0|1.0|0.0|0.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0.0|0.0|0.0|388.0|5232.0
Female|0.0|No|Yes|17.0|Yes|No|DSL|No|No|No|No|Yes|Yes|Month-to-month|Yes|Mailed check|64.7|1093.1|Yes|1.0|25.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|1.0|0.0|800.0|678.0
Female|1.0|Yes|No|71.0|Yes|Yes|Fiber optic|Yes|Yes|Yes|Yes|No|No|Two year|Yes|Credit card (automatic)|96.35|6766.95|No|3.0|5.0|1.0|1.0|1.0|0.0|0.0|0.0|1.0|1.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|819.0|4842.0
Male|1.0|Yes|No|2.0|Yes|No|Fiber optic|No|No|Yes|No|Yes|Yes|Month-to-month|Yes|Credit card (automatic)|95.5|181.65|No|3.0|2.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|1.0|0.0|0.0|1.0|183.0|116.0
Female|0.0|Yes|Yes|27.0|Yes|No|DSL|Yes|Yes|Yes|Yes|No|No|One year|No|Mailed check|66.15|1874.45|No|1.0|41.0|2.0|0.0|1.0|1.0|0.0|1.0|1.0|1.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|609.0|1735.0
Male|0.0|No|No|1.0|Yes|No|No|No internet service|No internet service|No internet service|No internet service|No internet service|No internet service|Month-to-month|No|Bank transfer (automatic)|20.2|20.2|No|2.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|2.0|2.0|2.0|2.0|2.0|2.0|1.0|0.0|0.0|15.0|0.0
Male|1.0|No|No|1.0|Yes|No|DSL|No|No|No|No|No|No|Month-to-month|No|Bank transfer (automatic)|45.25|45.25|No|2.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|173.0|2123.0
Female|0.0|Yes|Yes|72.0|Yes|Yes|Fiber optic|Yes|Yes|No|Yes|Yes|No|Two year|No|Bank transfer (automatic)|99.9|7251.7|No|2.0|1.0|1.0|1.0|1.0|1.0|0.0|0.0|1.0|1.0|0.0|1.0|1.0|0.0|1.0|0.0|0.0|690.0|5543.0
Male|0.0|No|No|5.0|Yes|No|Fiber optic|No|No|No|No|No|No|Month-to-month|Yes|Electronic check|69.7|316.9|Yes|0.0|6.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|90.0|163.0
Female|0.0|No|No|46.0|Yes|No|Fiber optic|No|No|Yes|No|No|No|Month-to-month|Yes|Credit card (automatic)|74.8|3548.3|No|3.0|37.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|277.0|1756.0
Male|0.0|No|No|34.0|Yes|Yes|Fiber optic|No|Yes|Yes|No|Yes|Yes|Month-to-month|Yes|Electronic check|106.35|3549.25|Yes|0.0|54.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|1.0|1.0|0.0|1.0|0.0|531.0|2130.0
Female|0.0|No|No|11.0|Yes|Yes|Fiber optic|No|No|Yes|No|Yes|Yes|Month-to-month|Yes|Bank transfer (automatic)|97.85|1105.4|Yes|2.0|17.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|1.0|0.0|1.0|0.0|1118.0|3068.0
Male|0.0|Yes|Yes|10.0|Yes|No|DSL|No|Yes|No|No|No|No|One year|No|Mailed check|49.55|475.7|No|1.0|12.0|2.0|0.0|1.0|1.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|268.0|5319.0
Female|0.0|Yes|Yes|70.0|Yes|Yes|DSL|Yes|Yes|No|No|Yes|No|Two year|Yes|Credit card (automatic)|69.2|4872.35|No|3.0|9.0|1.0|1.0|1.0|1.0|0.0|1.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|306.0|906.0
Female|0.0|Yes|Yes|17.0|Yes|No|No|No internet service|No internet service|No internet service|No internet service|No internet service|No internet service|One year|No|Mailed check|20.75|418.25|No|1.0|25.0|2.0|0.0|1.0|1.0|0.0|2.0|2.0|2.0|2.0|2.0|2.0|2.0|1.0|0.0|0.0|31.0|4165.0
Female|0.0|No|No|63.0|Yes|Yes|DSL|Yes|Yes|Yes|Yes|Yes|No|Two year|Yes|Credit card (automatic)|79.85|4861.45|No|3.0|39.0|1.0|1.0|0.0|0.0|0.0|1.0|1.0|1.0|1.0|1.0|1.0|0.0|0.0|0.0|0.0|41.0|4181.0
Female|0.0|Yes|No|13.0|Yes|Yes|DSL|Yes|Yes|No|Yes|Yes|No|Month-to-month|Yes|Electronic check|76.2|981.45|No|0.0|14.0|0.0|1.0|1.0|0.0|0.0|1.0|1.0|1.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|1133.0|544.0
Female|0.0|No|No|49.0|Yes|Yes|Fiber optic|No|No|No|No|No|Yes|Month-to-month|Yes|Electronic check|84.5|3906.7|No|0.0|53.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|143.0|3078.0
Male|0.0|No|No|2.0|Yes|No|DSL|No|Yes|No|No|No|No|Month-to-month|No|Mailed check|49.25|97.0|No|1.0|2.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|348.0|4053.0
Female|0.0|No|No|2.0|Yes|No|Fiber optic|No|No|No|No|Yes|No|Month-to-month|Yes|Electronic check|80.65|144.15|Yes|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|276.0|355.0
Male|0.0|No|No|52.0|Yes|Yes|DSL|Yes|No|No|Yes|Yes|Yes|Two year|Yes|Credit card (automatic)|79.75|4217.8|No|3.0|29.0|1.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|1.0|1.0|0.0|0.0|0.0|313.0|1240.0
Female|0.0|Yes|Yes|69.0|Yes|Yes|DSL|Yes|No|Yes|Yes|No|No|Two year|Yes|Credit card (automatic)|64.15|4254.1|No|3.0|20.0|1.0|1.0|1.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|883.0|4173.0
Female|1.0|No|No|43.0|Yes|Yes|Fiber optic|No|Yes|No|No|Yes|No|Month-to-month|Yes|Electronic check|90.25|3838.75|No|0.0|57.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|388.0|1882.0
Female|0.0|No|No|15.0|Yes|No|Fiber optic|Yes|Yes|No|No|Yes|Yes|Month-to-month|Yes|Credit card (automatic)|99.1|1426.4|Yes|3.0|16.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|1.0|0.0|1.0|0.0|670.0|5596.0
Female|1.0|Yes|No|25.0|Yes|Yes|DSL|Yes|No|No|Yes|Yes|No|Month-to-month|Yes|Credit card (automatic)|69.5|1752.65|No|3.0|31.0|0.0|1.0|1.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|82.0|5347.0
Female|1.0|Yes|No|8.0|Yes|Yes|Fiber optic|No|Yes|No|No|No|No|Month-to-month|Yes|Credit card (automatic)|80.65|633.3|Yes|3.0|8.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|276.0|3241.0
Female|1.0|Yes|Yes|60.0|Yes|No|DSL|Yes|Yes|Yes|Yes|No|Yes|One year|Yes|Credit card (automatic)|74.85|4456.35|No|3.0|33.0|2.0|0.0|1.0|1.0|0.0|1.0|1.0|1.0|1.0|1.0|0.0|1.0|0.0|0.0|1.0|298.0|817.0
Male|1.0|No|No|18.0|Yes|Yes|Fiber optic|No|No|No|No|Yes|Yes|Month-to-month|Yes|Electronic check|95.45|1752.55|Yes|0.0|19.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|1.0|1.0|524.0|4195.0
Female|0.0|Yes|Yes|63.0|Yes|Yes|Fiber optic|Yes|No|No|No|Yes|Yes|One year|Yes|Credit card (automatic)|99.65|6311.2|No|3.0|39.0|2.0|1.0|1.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|136.0|607.0
Male|1.0|Yes|Yes|66.0|Yes|Yes|Fiber optic|No|Yes|Yes|Yes|Yes|Yes|One year|Yes|Electronic check|108.45|7076.35|No|0.0|23.0|2.0|1.0|1.0|1.0|0.0|0.0|0.0|1.0|1.0|1.0|1.0|1.0|0.0|0.0|1.0|881.0|594.0
Female|0.0|Yes|Yes|34.0|Yes|Yes|No|No internet service|No internet service|No internet service|No internet service|No internet service|No internet service|Two year|No|Credit card (automatic)|24.95|894.3|No|3.0|54.0|1.0|1.0|1.0|1.0|0.0|2.0|2.0|2.0|2.0|2.0|2.0|2.0|1.0|0.0|0.0|58.0|399.0
Female|0.0|No|No|72.0|Yes|Yes|Fiber optic|No|No|Yes|Yes|Yes|Yes|Two year|Yes|Credit card (automatic)|107.5|7853.7|No|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|1.0|1.0|0.0|0.0|0.0|689.0|1141.0
Female|0.0|Yes|No|47.0|Yes|Yes|Fiber optic|No|No|Yes|No|Yes|Yes|Month-to-month|Yes|Electronic check|100.5|4707.1|No|0.0|48.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|1.0|0.0|0.0|0.0|187.0|4143.0
Male|0.0|No|No|60.0|Yes|Yes|Fiber optic|No|Yes|No|No|Yes|No|Month-to-month|Yes|Bank transfer (automatic)|89.9|5450.7|No|2.0|33.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|164.0|2752.0
Male|0.0|Yes|No|72.0|No|No phone service|DSL|Yes|Yes|Yes|No|No|No|Two year|No|Bank transfer (automatic)|42.1|2962.0|No|2.0|1.0|1.0|2.0|1.0|0.0|1.0|1.0|1.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1532.0|4207.0
Female|0.0|Yes|Yes|18.0|Yes|No|DSL|No|No|Yes|Yes|No|No|One year|Yes|Credit card (automatic)|54.4|957.1|No|3.0|19.0|2.0|0.0|1.0|1.0|0.0|1.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|352.0|6192.0
Female|0.0|No|No|9.0|Yes|Yes|Fiber optic|No|No|No|No|Yes|Yes|Month-to-month|No|Electronic check|94.4|857.25|Yes|0.0|10.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|1.0|1.0|0.0|61.0|6125.0
Female|0.0|No|No|3.0|Yes|No|DSL|No|Yes|No|Yes|Yes|Yes|Month-to-month|Yes|Electronic check|75.3|244.1|No|0.0|3.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|1.0|1.0|1.0|0.0|0.0|0.0|77.0|1148.0
Male|0.0|Yes|No|47.0|Yes|Yes|Fiber optic|No|Yes|No|No|No|No|One year|Yes|Electronic check|78.9|3650.35|No|0.0|48.0|2.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|253.0|6295.0
Female|0.0|No|No|31.0|Yes|No|DSL|No|Yes|Yes|Yes|Yes|Yes|Two year|No|Mailed check|79.2|2497.2|No|1.0|59.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|1.0|1.0|1.0|1.0|1.0|0.0|0.0|45.0|142.0
Female|0.0|Yes|Yes|50.0|Yes|No|No|No internet service|No internet service|No internet service|No internet service|No internet service|No internet service|Two year|No|Bank transfer (automatic)|20.15|930.9|No|2.0|49.0|1.0|0.0|1.0|1.0|0.0|2.0|2.0|2.0|2.0|2.0|2.0|2.0|1.0|0.0|0.0|7.0|3257.0
Male|0.0|No|No|10.0|Yes|No|Fiber optic|Yes|No|Yes|No|No|No|Month-to-month|Yes|Mailed check|79.85|887.35|No|1.0|12.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|41.0|4384.0
Male|0.0|No|No|1.0|Yes|No|DSL|No|No|No|Yes|No|No|Month-to-month|No|Mailed check|49.05|49.05|No|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|406.0|533.0
Female|0.0|Yes|Yes|52.0|Yes|No|No|No internet service|No internet service|No internet service|No internet service|No internet service|No internet service|One year|Yes|Electronic check|20.4|1090.65|No|0.0|29.0|2.0|0.0|1.0|1.0|0.0|2.0|2.0|2.0|2.0|2.0|2.0|2.0|0.0|0.0|0.0|19.0|1829.0
Male|1.0|Yes|Yes|64.0|Yes|Yes|Fiber optic|Yes|No|Yes|Yes|Yes|Yes|Two year|Yes|Bank transfer (automatic)|111.6|7099.0|No|2.0|30.0|1.0|1.0|1.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|1.0|1.0|0.0|0.0|1.0|851.0|4336.0
Male|0.0|Yes|Yes|62.0|Yes|Yes|No|No internet service|No internet service|No internet service|No internet service|No internet service|No internet service|Two year|Yes|Bank transfer (automatic)|24.25|1424.6|No|2.0|46.0|1.0|1.0|1.0|1.0|0.0|2.0|2.0|2.0|2.0|2.0|2.0|2.0|0.0|0.0|0.0|100.0|3063.0
Female|0.0|No|Yes|3.0|Yes|No|DSL|Yes|No|No|Yes|No|Yes|Month-to-month|Yes|Bank transfer (automatic)|64.5|177.4|No|2.0|3.0|0.0|0.0|0.0|1.0|0.0|1.0|1.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|652.0|1783.0
Female|1.0|No|No|56.0|Yes|Yes|Fiber optic|Yes|Yes|Yes|No|Yes|Yes|One year|No|Electronic check|110.5|6139.5|No|0.0|28.0|2.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|1.0|0.0|1.0|1.0|1.0|0.0|1.0|370.0|2423.0
Female|0.0|No|No|46.0|Yes|No|DSL|No|No|No|No|No|Yes|One year|No|Credit card (automatic)|55.65|2688.85|No|3.0|37.0|2.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|530.0|5313.0
Female|0.0|Yes|Yes|8.0|Yes|No|DSL|Yes|Yes|No|No|No|No|Month-to-month|No|Mailed check|54.65|482.25|No|1.0|8.0|0.0|0.0|1.0|1.0|0.0|1.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|144.0|4621.0
Male|1.0|No|No|30.0|Yes|No|DSL|Yes|Yes|No|No|Yes|Yes|Month-to-month|Yes|Electronic check|74.75|2111.3|No|0.0|40.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|1.0|0.0|0.0|1.0|1.0|0.0|0.0|1.0|103.0|5323.0
Female|0.0|Yes|Yes|45.0|Yes|Yes|No|No internet service|No internet service|No internet service|No internet service|No internet service|No internet service|One year|Yes|Credit card (automatic)|25.9|1216.6|No|3.0|65.0|2.0|1.0|1.0|1.0|0.0|2.0|2.0|2.0|2.0|2.0|2.0|2.0|0.0|0.0|0.0|979.0|5952.0
Female|0.0|No|Yes|1.0|Yes|No|Fiber optic|No|No|No|No|Yes|No|Month-to-month|Yes|Electronic check|79.35|79.35|Yes|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|257.0|208.0
Female|0.0|Yes|Yes|11.0|No|No phone service|DSL|Yes|No|No|No|Yes|Yes|Month-to-month|No|Electronic check|50.55|565.35|No|0.0|17.0|0.0|2.0|1.0|1.0|1.0|1.0|1.0|0.0|0.0|0.0|1.0|1.0|1.0|0.0|0.0|87.0|6178.0
Female|0.0|Yes|No|7.0|Yes|No|Fiber optic|No|No|Yes|No|No|No|Month-to-month|Yes|Bank transfer (automatic)|75.15|496.9|Yes|2.0|7.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|270.0|1578.0
Female|0.0|No|No|42.0|Yes|No|Fiber optic|No|Yes|Yes|Yes|Yes|Yes|Month-to-month|Yes|Bank transfer (automatic)|103.8|4327.5|No|2.0|58.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|1.0|1.0|1.0|0.0|0.0|0.0|1157.0|5824.0
Female|0.0|Yes|No|49.0|Yes|No|No|No internet service|No internet service|No internet service|No internet service|No internet service|No internet service|Two year|Yes|Bank transfer (automatic)|20.15|973.35|No|2.0|53.0|1.0|0.0|1.0|0.0|0.0|2.0|2.0|2.0|2.0|2.0|2.0|2.0|0.0|0.0|0.0|7.0|922.0
Male|0.0|No|No|9.0|Yes|Yes|Fiber optic|No|Yes|No|No|Yes|Yes|Month-to-month|Yes|Credit card (automatic)|99.3|918.75|No|3.0|10.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|555.0|5416.0
Female|0.0|Yes|No|35.0|Yes|No|DSL|Yes|No|No|No|Yes|No|One year|Yes|Bank transfer (automatic)|62.15|2215.45|No|2.0|24.0|2.0|0.0|1.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|771.0|861.0
